Agent_ID,Agent_Name,Vertical,Subvertical,Role_Type,Archetype_ID,Archetype_Name,Avatar,Primary_Template,Secondary_Template,Primary_System_Range,Secondary_System_Range,Tertiary_System_Range,Generator_Models,Capability,Trust,Activation,Synergy,Risk,Evolution,MAS,Health_Status
AGT-001,Executive Twin,core,governance,Core,1,Sovereign,Axel,Operations,Governance,141-155,1-30,,[GEN-001],95,94,90,96,10,85,82.75,ACTIVE
AGT-002,Communication Sovereign,core,communication,Core,2,Lover,Liora,Content,Operations,71-90,141-155,,[GEN-002],88,92,85,90,5,80,78.65,ACTIVE
AGT-003,Time Architecture Agent,core,scheduling,Core,4,Sage,Orion,Operations,Content,71-90,141-155,,[GEN-003],85,90,80,82,5,78,76.95,ACTIVE
AGT-004,Operations Command Agent,core,operations,Core,38,Builder,Nova,Operations,Governance,141-155,1-30,[GEN-004],92,88,95,91,8,82,82.70,ACTIVE
AGT-005,Revenue Intelligence Agent,core,finance,Core,56,Catalyst,Alaric,Revenue,Operations,141-155,141-155,,[GEN-005],96,93,88,92,10,85,84.55,ACTIVE
AGT-006,Identity Architect Agent,core,identity,Vertical,66,Architect,Nova,Content,,71-90,,,[GEN-006],89,86,82,91,5,79,80.95,ACTIVE
AGT-007,Blueprint Strategist Agent,core,strategy,Vertical,18,Visionary,Nova,Operations,,141-155,,,[GEN-007],88,85,80,89,5,78,79.80,ACTIVE
AGT-008,Governance Intelligence Agent,core,governance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-008],91,88,84,92,6,81,82.80,ACTIVE
AGT-009,Luxury Acquisition Agent,real_estate,luxury,Vertical,13,Hero,Axel,Revenue,,141-155,,,[GEN-009],87,83,81,86,7,76,78.25,ACTIVE
AGT-010,Client Experience Agent,real_estate,service,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-009],90,87,85,91,5,80,82.85,ACTIVE
AGT-011,Showing Optimization Agent,real_estate,operations,Vertical,73,Protector,Axel,Operations,,141-155,,,[GEN-009],84,80,79,83,6,74,76.15,ACTIVE
AGT-012,Real Estate Transaction Agent,real_estate,transaction,Vertical,38,Builder,Nova,Revenue,,141-155,,,[GEN-009,GEN-061],86,82,80,85,5,77,78.35,ACTIVE
AGT-013,Real Estate Market Agent,real_estate,market,Vertical,31,Scientist,Orion,Revenue,,141-155,,,[GEN-009,GEN-062],85,81,78,84,5,76,77.15,ACTIVE
AGT-014,Property Management Agent,real_estate,management,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-009],83,80,77,82,6,75,75.55,ACTIVE
AGT-015,Real Estate Legal Agent,real_estate,legal,Vertical,60,Advocate,Liora,Legal,,1-30,,,[GEN-009],88,86,83,90,5,79,81.85,ACTIVE
AGT-016,Real Estate Investment Agent,real_estate,investment,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-009],89,87,84,91,5,80,82.80,ACTIVE
AGT-017,Real Estate Development Agent,real_estate,development,Vertical,66,Architect,Nova,Operations,,141-155,,,[GEN-009],87,85,81,88,5,78,80.30,ACTIVE
AGT-018,Social Services Intake Agent,social_services,intake,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-010],88,86,83,90,5,79,81.85,ACTIVE
AGT-019,Food Assistance Agent,social_services,food,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-010],87,85,82,89,5,78,81.00,ACTIVE
